0|0.00757
1|0.00051
1|0.00133
2|0.00035
3|0.00025
4|0.00021
5|0.00019
5|0.00078
6|0.00017
7|0.00016
8|0.00014
9|0.00011
10|0.0001
10|0.00107
11|0.0001
12|0.00016
13|0.00027
14|0.00043
15|0.00061
15|0.00457
16|0.00078
17|0.00093
18|0.00107
19|0.00119
20|0.00131
20|0.00717
21|0.00142
22|0.00149
23|0.0015
24|0.00147
25|0.00143
25|0.00691
26|0.00139
27|0.00136
28|0.00137
29|0.00138
30|0.00141
30|0.00739
31|0.00143
32|0.00149
33|0.00151
34|0.00157
35|0.00163
35|0.0094
36|0.00173
37|0.00184
38|0.00202
39|0.00222
40|0.00244
40|0.01452
41|0.00267
42|0.0029
43|0.00316
44|0.00344
45|0.00374
45|0.022
46|0.00405
47|0.0044
48|0.00479
49|0.00521
50|0.00568
50|0.03289
51|0.0062
52|0.00669
53|0.00715
54|0.00761
55|0.00806
55|0.04552
56|0.00855
57|0.00915
58|0.00986
59|0.01075
60|0.01181
60|0.06879
61|0.01299
62|0.0142
63|0.01534
64|0.01643
65|0.01757
65|0.09914
66|0.01881
67|0.02037
68|0.0222
69|0.02435
70|0.02672
70|0.153
71|0.02934
72|0.0323
73|0.0356
74|0.03932
75|0.04345
75|0.23958
76|0.04791
77|0.0528
78|0.05816
79|0.06406
80|0.07047
80|0.36172
81|0.07748
82|0.08515
83|0.09344
84|0.10252
85|0.11235
85|0.51714
86|0.12296
87|0.13445
88|0.14682
89|0.1601
90|0.17442
90|0.68693
91|0.18969
92|0.20588
93|0.22318
94|0.24139
95|0.26061
95|0.83627
96|0.281
97|0.30204
98|0.3238
99|0.34743
100|1.0
